Berisha,Linda,80
Montag,07.15,12.00,13.00,17.00
Dienstag,07.30,12.30,13.00,17.30
Mittwoch,06.45,11.45,12.30,16.30
Donnerstag,07.10,12.10,13.00,17.20
Freitag,

Musterfrau,Maxine,80
Montag,07.30,12.00,12.30,16.30
Dienstag,07.45,12.00,12.30,16.39
Mittwoch,07.30,12.00,12.30,16.30
Donnerstag,07.40,12.00,12.30,16.34
Freitag,07.50,12.00,12.30,16.36

Rechi,Arti,100
Montag,06.50,11.45,12.30,16.45
Dienstag,07.10,12.00,12.45,17.05
Mittwoch,07.25,12.20,13.00,24.20
Donnerstag,06.40,11.40,12.30,16.20
Freitag,05.30,10.30,11.15,14.00

Hunziker,Mia,50
Montag,13.00,18.45
Dienstag,12.30,18.30
Mittwoch,13.15,18.55
Donnerstag,13.00,18.30
Freitag,12.99,16.00

Mustermann,Max,100
Montag,07.00,12.00,13.00,17.00
Dienstag,07.30,12.30,13.00,16.30
Mittwoch,07.45,12.30,13.30,17.30
Donnerstag,06.50,11.51,12.50,16.56
Freitag,04.59,11.00,12.00,14.00
